NodeNum,Inst,SEQ,Method,FlexLex,CP,Obj,Time,sel
15,15-PatPS_956_5263_1_2_1_1,956,TI,L,21.8,27.79,2.464,1
15,15-PatPS_957_5263_2_3_2_2,957,TI,H,4.64,9.41,1.756,2_8
15,15-PatPS_958_5156_1_2_1_1,958,TI,L,45.41,52.75,1.759,8
15,15-PatPS_959_5156_2_3_2_2,959,TI,H,7.92,21.32,3.509,12_8
15,15-PatPS_960_5305_1_2_1_1,960,TI,L,33.75,39.63,3.599,3
15,15-PatPS_961_5305_2_3_2_2,961,TI,H,13.27,17.91,2.03,10_12
15,15-PatPS_962_5229_1_2_1_1,962,TI,L,52.9,62.06,3.879,12
15,15-PatPS_963_5229_2_3_2_2,963,TI,H,21.32,30.28,1.985,12_11
15,15-PatPS_964_5301_1_2_1_1,964,TI,L,41.92,48.3,3.082,6
15,15-PatPS_965_5301_2_3_2_2,965,TI,H,16.39,25.4,3.52,6_13
15,15-PatPS_966_5487_1_2_1_1,966,TI,L,46.729996,59.45,7.315,1
15,15-PatPS_967_5487_2_3_2_2,967,TI,H,9.41,23.05,4.197,1_0
15,15-PatPS_968_5754_1_2_1_1,968,TI,L,37.62,53.81,9.746,13
15,15-PatPS_969_5754_2_3_2_2,969,TI,H,19.59,26.01,1.666,11_12
15,15-PatPS_970_5685_1_2_1_1,970,TI,L,50.28,55.56,1.711,4
15,15-PatPS_971_5685_2_3_2_2,971,TI,H,29.300001,34.5,2.324,12_8
15,15-PatPS_972_5479_1_2_1_1,972,TI,L,45.5,50.34,6.031,8
15,15-PatPS_973_5479_2_3_2_2,973,TI,H,21.82,27.76,1.614,8_0
15,15-PatPS_974_5946_1_2_1_1,974,TI,L,50.76,55.23,1.681,9
15,15-PatPS_975_5946_2_3_2_2,975,TI,H,10.18,13.63,1.979,15_0
15,15-PatPS_976_5940_1_2_1_1,976,TI,L,41.620003,49.41,2.363,5
15,15-PatPS_977_5940_2_3_2_2,977,TI,H,18.21,22.4,1.476,5_14
15,15-PatPS_978_5511_1_2_1_1,978,TI,L,46.730003,62.23,4.543,3
15,15-PatPS_979_5511_2_3_2_2,979,TI,H,16.53,25.77,3.467,3_11
15,15-PatPS_980_5295_1_2_1_1,980,TI,L,37.53,43.46,4.148,11
15,15-PatPS_981_5295_2_3_2_2,981,TI,H,11.67,17.19,2.056,11_0
15,15-PatPS_982_5949_1_2_1_1,982,TI,L,47.899998,50.1,1.6,14
15,15-PatPS_983_5949_2_3_2_2,983,TI,H,16.369999,20.97,1.856,9_0
15,15-PatPS_984_5600_1_2_1_1,984,TI,L,41.180004,47.11,4.63,1
15,15-PatPS_985_5600_2_3_2_2,985,TI,H,13.93,18.19,2.713,9_0
15,15-PatPS_986_5625_1_2_1_1,986,TI,L,49.71,56.49,4.279,5
15,15-PatPS_987_5625_2_3_2_2,987,TI,H,20.9,26.8,1.981,9_12
15,15-PatPS_988_5771_1_2_1_1,988,TI,L,41.67,53.81,5.776,13
15,15-PatPS_989_5771_2_3_2_2,989,TI,H,26.619999,34.47,2.388,13_4
15,15-PatPS_990_5760_1_2_1_1,990,TI,L,32.35,45.56,4.227,12
15,15-PatPS_991_5760_2_3_2_2,991,TI,H,8.81,18.41,4.751,13_5
15,15-PatPS_992_5002_1_2_1_1,992,TI,L,37.29,38.26,2.213,5
15,15-PatPS_993_5002_2_3_2_2,993,TI,H,7.7999997,15.27,2.37,13_5
15,15-PatPS_994_5114_1_2_1_1,994,TI,L,55.55,63.93,9.662,5
15,15-PatPS_995_5114_2_3_2_2,995,TI,H,32.96,40.56,3.541,6_11
15,15-PatPS_996_5440_1_2_1_1,996,TI,L,56.51,59.31,2.984,14
15,15-PatPS_997_5440_2_3_2_2,997,TI,H,13.029999,17.3,1.774,14_12
15,15-PatPS_998_5916_1_2_1_1,998,TI,L,42.940002,53.22,4.723,3
15,15-PatPS_999_5916_2_3_2_2,999,TI,H,10,24.79,6.207,3_8
15,15-PatPS_1000_5227_1_2_1_1,1000,TI,L,31.92,36.97,3.644,10
15,15-PatPS_1001_5227_2_3_2_2,1001,TI,H,7.89,16.07,3.86,10_6
15,15-PatPS_1002_5220_1_2_1_1,1002,TI,L,37.949997,42.22,1.93,3
15,15-PatPS_1003_5220_2_3_2_2,1003,TI,H,19.72,25.39,3.417,3_5
15,15-PatPS_1004_5979_1_2_1_1,1004,TI,L,45.190002,48.91,3.619,15
15,15-PatPS_1005_5979_2_3_2_2,1005,TI,H,15.11,23.93,2.166,15_10
15,15-PatPS_1006_5098_1_2_1_1,1006,TI,L,47.519997,70.19,11.635,7
15,15-PatPS_1007_5098_2_3_2_2,1007,TI,H,25.689999,35.43,4.875,10_15
15,15-PatPS_1008_5852_1_2_1_1,1008,TI,L,49.329998,62.13,3.337,7
15,15-PatPS_1009_5852_2_3_2_2,1009,TI,H,15.17,28.02,3.858,7_8
15,15-PatPS_1010_5551_1_2_1_1,1010,TI,L,42.58,55.62,8.935,14
15,15-PatPS_1011_5551_2_3_2_2,1011,TI,H,19.89,22.08,1.961,14_0
15,15-PatPS_1012_5646_1_2_1_1,1012,TI,L,45.210003,45.21,1.313,8
15,15-PatPS_1013_5646_2_3_2_2,1013,TI,H,14.65,22.56,4.158,8_0
15,15-PatPS_1014_5430_1_2_1_1,1014,TI,L,23.21,33.47,4.127,8
15,15-PatPS_1015_5430_2_3_2_2,1015,TI,H,11.969999,15.74,1.53,13_9
15,15-PatPS_1016_5967_1_2_1_1,1016,TI,L,51.159996,58.99,3.203,11
15,15-PatPS_1017_5967_2_3_2_2,1017,TI,H,21.03,22.85,1.816,3_11
15,15-PatPS_1018_5838_1_2_1_1,1018,TI,L,66.19,66.65,1.931,5
15,15-PatPS_1019_5838_2_3_2_2,1019,TI,H,25.27,35.08,4.619,12_10
15,15-PatPS_1020_5602_1_2_1_1,1020,TI,L,49.63,55.45,4.063,8
15,15-PatPS_1021_5602_2_3_2_2,1021,TI,H,13.85,24.86,2.488,8_11
15,15-PatPS_1022_5064_1_2_1_1,1022,TI,L,52.97,61.67,1.779,7
15,15-PatPS_1023_5064_2_3_2_2,1023,TI,H,25.259998,32.47,1.634,13_7
15,15-PatPS_1024_5914_1_2_1_1,1024,TI,L,39.76,53.11,7.634,6
15,15-PatPS_1025_5914_2_3_2_2,1025,TI,H,15.719999,19.97,2.06,4_0
15,15-PatPS_1026_5728_1_2_1_1,1026,TI,L,54.160004,56.19,1.598,3
15,15-PatPS_1027_5728_2_3_2_2,1027,TI,H,25.240002,30.59,3.454,3_10
15,15-PatPS_1028_5421_1_2_1_1,1028,TI,L,51.53,60.28,6.802,5
15,15-PatPS_1029_5421_2_3_2_2,1029,TI,H,23.39,29.51,2.412,14_0
15,15-PatPS_1030_5223_1_2_1_1,1030,TI,L,55.47,63.71,9.594,11
15,15-PatPS_1031_5223_2_3_2_2,1031,TI,H,18.93,29.89,9.04,5_3
15,15-PatPS_1032_5820_1_2_1_1,1032,TI,L,46.149994,46.15,1.163,3
15,15-PatPS_1033_5820_2_3_2_2,1033,TI,H,17.42,24.35,1.449,9_11
15,15-PatPS_1034_5793_1_2_1_1,1034,TI,L,44.8,49.98,2.534,9
15,15-PatPS_1035_5793_2_3_2_2,1035,TI,H,27.41,30.06,2.549,9_14
15,15-PatPS_1036_5050_1_2_1_1,1036,TI,L,38.24,45.3,4.701,3
15,15-PatPS_1037_5050_2_3_2_2,1037,TI,H,19.17,22.19,2.138,14_3
15,15-PatPS_1038_5056_1_2_1_1,1038,TI,L,38.559998,54.54,4.967,4
15,15-PatPS_1039_5056_2_3_2_2,1039,TI,H,21.36,32.19,1.894,4_8
15,15-PatPS_1040_5741_1_2_1_1,1040,TI,L,58.03,72.66,4.397,14
15,15-PatPS_1041_5741_2_3_2_2,1041,TI,H,26.76,33.34,2.286,14_9
15,15-PatPS_1042_5667_1_2_1_1,1042,TI,L,45.22,56.83,6.804,12
15,15-PatPS_1043_5667_2_3_2_2,1043,TI,H,12.76,24.83,3.063,6_15
15,15-PatPS_1044_5822_1_2_1_1,1044,TI,L,60.739998,61.83,1.978,9
